lon,lat,log_ppt_2025_standardized
-104.72916666747852,46.8125000001245,1.3542259
-115.99583333369452,48.4458333333925,0.9018467
-108.46250000066252,46.7791666667925,0.5371596
-111.7958333338625,46.8125000001245,0.32622802
-109.3958333339585,47.379166666768505,-0.15141813
-107.59583333403052,46.945833333452505,0.66596055
-107.49583333403451,48.245833333400505,-0.41459125
-110.16250000059452,48.5791666667205,-0.39212367
-109.22916666729851,48.779166666712506,-0.98583996
-114.22916666709853,46.8125000001245,1.105453
-113.22916666713851,47.2791666667725,0.81849074
-108.12916666734252,45.8125000001645,1.2141194
-107.99583333401452,45.0791666668605,1.1526455
-112.56250000049852,44.779166666872506,1.1021551
-106.42916666741051,45.2791666668525,1.6924821
-107.56250000069852,47.6125000000925,-0.6078727
-111.5625000005385,44.8458333335365,1.1955588
-115.39583333371851,48.9458333333725,0.86027235
-111.29583333388253,48.8791666667085,-0.280423
-107.12916666738252,45.4791666668445,1.6594868
-109.59583333395052,48.4125000000605,-1.6019602
-106.56250000073852,47.7125000000885,0.5167629
-114.19583333376652,48.9125000000405,0.7821075
-106.5958333340705,48.4791666667245,0.09613624
-104.52916666748652,45.1791666668565,1.7314724
-109.96250000060252,45.0458333335285,1.080069
-108.9625000006425,45.1458333335245,0.9777738
-112.2291666671785,45.74583333350051,0.47794396
-112.72916666715852,48.1458333334045,0.53505665
-104.82916666747452,48.8791666667085,-0.6214477
-113.59583333379052,46.179166666816506,1.231479
-108.42916666733052,47.7791666667525,-0.18466736
-109.99583333393451,46.5791666668005,0.3279373
-105.5291666674465,46.9791666667845,1.5527816
-114.09583333377051,45.6125000001725,0.7824816
-110.52916666724651,45.8458333334965,0.74334663
-111.06250000055852,47.4125000001005,-0.28434134
-107.06250000071852,46.0125000001565,1.6102575
-107.86250000068652,48.5125000000565,-0.8753429
-105.69583333410652,46.5458333334685,1.5066949
-114.22916666709853,48.2125000000685,0.9630441
-104.52916666748652,45.8125000001645,1.5859348
-111.66250000053452,48.5458333333885,0.26739162
-104.09583333417052,48.5125000000565,0.40050298
-105.16250000079452,45.9125000001605,1.7710638
-104.06250000083853,46.4125000001405,1.2795616
-108.7625000006505,46.4458333334725,0.708568
-112.6625000004945,48.5791666667205,0.5581729
-106.29583333408252,45.8458333334965,1.623693
-108.26250000067051,48.4458333333925,-0.87244225
-110.66250000057452,45.4125000001805,1.0148665
-113.82916666711452,48.2791666667325,0.5206681
-111.76250000053052,48.1458333334045,0.42478848
-106.56250000073852,46.7125000001285,1.3641953
-110.86250000056653,46.5791666668005,0.23337229
-114.92916666707052,47.1458333334445,0.9154942
-108.66250000065452,45.6125000001725,0.9019232
-105.46250000078253,47.479166666764506,0.91062933
-110.16250000059452,46.0125000001565,0.8194734
-112.76250000049052,47.0791666667805,0.6078234
-113.2958333338025,48.5125000000565,0.7021815
-104.06250000083853,47.5458333334285,0.8539053
-110.2625000005905,46.8791666667885,0.15784858
-109.76250000061052,45.7125000001685,0.61104864
-105.76250000077052,48.8458333333765,0.25483504
-111.42916666721052,46.945833333452505,0.40851858
-107.42916666737052,48.779166666712506,-0.8268276
-105.36250000078653,45.3791666668485,2.0317447
-105.39583333411852,48.1458333334045,0.11743368
-114.52916666708651,47.0791666667805,0.92631817
-110.59583333391052,48.3791666667285,-0.10582445
-104.19583333416652,46.7791666667925,1.1507912
-107.52916666736652,45.0791666668605,1.183433
-110.19583333392652,47.3125000001045,0.17210907
-110.96250000056251,45.0458333335285,1.2575964
-107.86250000068652,46.079166666820505,1.3539526
-113.16250000047452,45.4125000001805,0.8975836
-112.09583333385052,48.6125000000525,0.49875814
-111.29583333388253,46.179166666816506,0.8796109
-113.19583333380652,46.8458333334565,1.065177
-106.02916666742652,46.9125000001205,1.2633793
-109.29583333396252,47.7458333334205,-0.7940925
-112.39583333383852,45.3791666668485,0.84999895
-107.16250000071452,47.7125000000885,-0.27432993
-114.89583333373852,47.5125000000965,0.8179764
-104.99583333413452,48.3791666667285,0.15983747
-111.59583333387052,45.645833333504505,1.1832228
-111.96250000052252,44.9458333335325,1.225109
-115.6958333337065,48.6458333333845,0.8023945
-108.56250000065852,47.4125000001005,-0.4273014
-106.42916666741051,46.179166666816506,1.666061
-110.9291666672305,48.245833333400505,-0.43444514
-104.49583333415453,47.0791666667805,1.2254497
-114.22916666709853,47.7458333334205,0.9213908
